Subj,Crs,Sect,Title,Start,Time,Days,Room,Lab,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,25,GENERAL CHEMISTRY,09/25/2023,04:30 PM-05:45 PM,TTh,SC1102,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,25,GENERAL CHEMISTRY,09/25/2023,11:30 AM-02:20 PM,MW,SC2202,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,26,GENERAL CHEMISTRY,09/25/2023,04:30 PM-05:45 PM,TTh,SC1102,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,26,GENERAL CHEMISTRY,09/25/2023,11:30 AM-02:20 PM,TTh,SC2202,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,65,GENERAL CHEMISTRY,09/25/2023,06:00 PM-07:15 PM,TTh,SC1102,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,65,GENERAL CHEMISTRY,09/25/2023,07:30 PM-10:20 PM,MW,SC2202,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,66,GENERAL CHEMISTRY,09/25/2023,06:00 PM-07:15 PM,TTh,SC1102,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001A,66,GENERAL CHEMISTRY,09/25/2023,07:30 PM-10:20 PM,TTh,SC2202,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,11,GENERAL CHEMISTRY,09/25/2023,03:30 PM-04:45 PM,MW,MLC105,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,11,GENERAL CHEMISTRY,09/25/2023,08:30 AM-11:20 AM,MW,SC2204,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,12,GENERAL CHEMISTRY,09/25/2023,03:30 PM-04:45 PM,MW,MLC105,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,12,GENERAL CHEMISTRY,09/25/2023,11:30 AM-02:20 PM,MW,SC2204,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,52,GENERAL CHEMISTRY,09/25/2023,06:00 PM-07:15 PM,MW,G7,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001B,52,GENERAL CHEMISTRY,09/25/2023,07:30 PM-10:20 PM,MW,SC2204,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001C,53,GEN CHEM/QUAL ANALYSIS,09/25/2023,06:00 PM-07:15 PM,TTh,S32,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001C,53,GEN CHEM/QUAL ANALYSIS,09/25/2023,02:30 PM-05:20 PM,TTh,SC2208,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D001C,54,GEN CHEM/QUAL ANALYSIS,09/25/2023,06:00 PM-07:15 PM,TTh,S32,N,,,,,,,,,,,,,,,,,,,,
CHEM,D001C,54,GEN CHEM/QUAL ANALYSIS,09/25/2023,07:30 PM-10:20 PM,TTh,SC2208,Y,,,,,,,,,,,,,,,,,,,,
CHEM,D012A,01,ORGANIC CHEMISTRY,09/25/2023,10:30 AM-11:45 AM,MW,S32,N,,,,,,,,,,,,,,,,,,,,
